"No.","Time","Source","Destination","Protocol","Length","Info"
"101","291.098754","Cisco_4b:74:8f (00:a2:ee:4b:74:8f) (TA)","IntelCor_1a:44:8d (60:f2:62:1a:44:8d) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"102","291.801526","Cisco_23:ae:4f (00:6b:f1:23:ae:4f) (TA)","IntelCor_24:f4:a0 (60:f2:62:24:f4:a0) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"103","292.676854","34:98:b5:69:4d:55","Raspberr_39:9b:a4","802.11","500","Probe Response, SN=3012, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"104","292.682875","34:98:b5:69:4d:55","Raspberr_39:9b:a4","802.11","500","Probe Response, SN=3013, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"105","293.058728","Swanncom_af:5b:e4","Broadcast","802.11","94","Data, SN=3018, FN=0, Flags=.p....F."
"106","293.153171","34:98:b5:69:4d:55","IntelCor_43:fb:98","802.11","500","Probe Response, SN=3019, FN=0, Flags=........, BI=100, SSID=Zer0Trust-5G"
"107","298.710457","Cisco_49:9c:ce (00:a2:ee:49:9c:ce) (TA)","6e:3c:50:4f:01:ba (6e:3c:50:4f:01:ba) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"108","299.313651","Cisco_4b:6c:0f (00:a2:ee:4b:6c:0f) (TA)","74:04:f1:5a:c0:53 (74:04:f1:5a:c0:53) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"109","299.410794","Cisco_66:0f:4e (00:a2:ee:66:0f:4e) (TA)","4c:d5:77:2c:09:35 (4c:d5:77:2c:09:35) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"110","299.607215","Cisco_66:0f:4f (00:a2:ee:66:0f:4f) (TA)","04:cf:4b:b9:15:68 (04:cf:4b:b9:15:68) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"111","300.629428","Cisco_4b:74:8f (00:a2:ee:4b:74:8f) (TA)","IntelCor_ab:9f:0f (90:78:41:ab:9f:0f) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"112","300.660811","Cisco_4b:74:8f (00:a2:ee:4b:74:8f) (TA)","IntelCor_5f:9d:c1 (e4:b3:18:5f:9d:c1) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
"113","300.685155","Cisco_4b:74:8f (00:a2:ee:4b:74:8f) (TA)","IntelCor_ab:b1:43 (90:78:41:ab:b1:43) (RA)","802.11","19","VHT/HE NDP Announcement, Flags=........"
